"productkey","englishproductname","color","safetystocklevel","reorderpoint","size","englishproductsubcategoryname","englishproductcategoryname"
210,"HL Road Frame - Black, 58","Black",500,375,"58","Road Frames","Components"
210,"HL Road Frame - Black, 58","Black",500,375,"58","Road Frames","Components"
210,"HL Road Frame - Black, 58","Black",500,375,"58","Road Frames","Components"
210,"HL Road Frame - Black, 58","Black",500,375,"58","Road Frames","Components"
211,"HL Road Frame - Red, 58","Red",500,375,"58","Road Frames","Components"
211,"HL Road Frame - Red, 58","Red",500,375,"58","Road Frames","Components"
211,"HL Road Frame - Red, 58","Red",500,375,"58","Road Frames","Components"
211,"HL Road Frame - Red, 58","Red",500,375,"58","Road Frames","Components"
212,"Sport-100 Helmet, Red","Red",4,3,NULL,"Helmets","Accessories"
212,"Sport-100 Helmet, Red","Red",4,3,NULL,"Helmets","Accessories"
212,"Sport-100 Helmet, Red","Red",4,3,NULL,"Helmets","Accessories"
212,"Sport-100 Helmet, Red","Red",4,3,NULL,"Helmets","Accessories"
213,"Sport-100 Helmet, Red","Red",4,3,NULL,"Helmets","Accessories"
213,"Sport-100 Helmet, Red","Red",4,3,NULL,"Helmets","Accessories"
213,"Sport-100 Helmet, Red","Red",4,3,NULL,"Helmets","Accessories"
213,"Sport-100 Helmet, Red","Red",4,3,NULL,"Helmets","Accessories"
214,"Sport-100 Helmet, Red","Red",4,3,NULL,"Helmets","Accessories"
214,"Sport-100 Helmet, Red","Red",4,3,NULL,"Helmets","Accessories"
214,"Sport-100 Helmet, Red","Red",4,3,NULL,"Helmets","Accessories"
214,"Sport-100 Helmet, Red","Red",4,3,NULL,"Helmets","Accessories"
215,"Sport-100 Helmet, Black","Black",4,3,NULL,"Helmets","Accessories"
215,"Sport-100 Helmet, Black","Black",4,3,NULL,"Helmets","Accessories"
215,"Sport-100 Helmet, Black","Black",4,3,NULL,"Helmets","Accessories"
215,"Sport-100 Helmet, Black","Black",4,3,NULL,"Helmets","Accessories"
216,"Sport-100 Helmet, Black","Black",4,3,NULL,"Helmets","Accessories"
216,"Sport-100 Helmet, Black","Black",4,3,NULL,"Helmets","Accessories"
216,"Sport-100 Helmet, Black","Black",4,3,NULL,"Helmets","Accessories"
216,"Sport-100 Helmet, Black","Black",4,3,NULL,"Helmets","Accessories"
217,"Sport-100 Helmet, Black","Black",4,3,NULL,"Helmets","Accessories"
217,"Sport-100 Helmet, Black","Black",4,3,NULL,"Helmets","Accessories"
217,"Sport-100 Helmet, Black","Black",4,3,NULL,"Helmets","Accessories"
217,"Sport-100 Helmet, Black","Black",4,3,NULL,"Helmets","Accessories"
218,"Mountain Bike Socks, M","White",4,3,"M","Socks","Clothing"
218,"Mountain Bike Socks, M","White",4,3,"M","Socks","Clothing"
218,"Mountain Bike Socks, M","White",4,3,"M","Socks","Clothing"
218,"Mountain Bike Socks, M","White",4,3,"M","Socks","Clothing"
219,"Mountain Bike Socks, L","White",4,3,"L","Socks","Clothing"
219,"Mountain Bike Socks, L","White",4,3,"L","Socks","Clothing"
219,"Mountain Bike Socks, L","White",4,3,"L","Socks","Clothing"
219,"Mountain Bike Socks, L","White",4,3,"L","Socks","Clothing"
220,"Sport-100 Helmet, Blue","Blue",4,3,NULL,"Helmets","Accessories"
220,"Sport-100 Helmet, Blue","Blue",4,3,NULL,"Helmets","Accessories"
220,"Sport-100 Helmet, Blue","Blue",4,3,NULL,"Helmets","Accessories"
220,"Sport-100 Helmet, Blue","Blue",4,3,NULL,"Helmets","Accessories"
221,"Sport-100 Helmet, Blue","Blue",4,3,NULL,"Helmets","Accessories"
221,"Sport-100 Helmet, Blue","Blue",4,3,NULL,"Helmets","Accessories"
221,"Sport-100 Helmet, Blue","Blue",4,3,NULL,"Helmets","Accessories"
221,"Sport-100 Helmet, Blue","Blue",4,3,NULL,"Helmets","Accessories"
222,"Sport-100 Helmet, Blue","Blue",4,3,NULL,"Helmets","Accessories"
222,"Sport-100 Helmet, Blue","Blue",4,3,NULL,"Helmets","Accessories"
222,"Sport-100 Helmet, Blue","Blue",4,3,NULL,"Helmets","Accessories"
222,"Sport-100 Helmet, Blue","Blue",4,3,NULL,"Helmets","Accessories"
223,"AWC Logo Cap","Multi",4,3,NULL,"Caps","Clothing"
223,"AWC Logo Cap","Multi",4,3,NULL,"Caps","Clothing"
223,"AWC Logo Cap","Multi",4,3,NULL,"Caps","Clothing"
223,"AWC Logo Cap","Multi",4,3,NULL,"Caps","Clothing"
224,"AWC Logo Cap","Multi",4,3,NULL,"Caps","Clothing"
224,"AWC Logo Cap","Multi",4,3,NULL,"Caps","Clothing"
224,"AWC Logo Cap","Multi",4,3,NULL,"Caps","Clothing"
224,"AWC Logo Cap","Multi",4,3,NULL,"Caps","Clothing"
225,"AWC Logo Cap","Multi",4,3,NULL,"Caps","Clothing"
225,"AWC Logo Cap","Multi",4,3,NULL,"Caps","Clothing"
225,"AWC Logo Cap","Multi",4,3,NULL,"Caps","Clothing"
225,"AWC Logo Cap","Multi",4,3,NULL,"Caps","Clothing"
226,"Long-Sleeve Logo Jersey, S","Multi",4,3,"S","Jerseys","Clothing"
226,"Long-Sleeve Logo Jersey, S","Multi",4,3,"S","Jerseys","Clothing"
226,"Long-Sleeve Logo Jersey, S","Multi",4,3,"S","Jerseys","Clothing"
226,"Long-Sleeve Logo Jersey, S","Multi",4,3,"S","Jerseys","Clothing"
227,"Long-Sleeve Logo Jersey, S","Multi",4,3,"S","Jerseys","Clothing"
227,"Long-Sleeve Logo Jersey, S","Multi",4,3,"S","Jerseys","Clothing"
227,"Long-Sleeve Logo Jersey, S","Multi",4,3,"S","Jerseys","Clothing"
227,"Long-Sleeve Logo Jersey, S","Multi",4,3,"S","Jerseys","Clothing"
228,"Long-Sleeve Logo Jersey, S","Multi",4,3,"S","Jerseys","Clothing"
228,"Long-Sleeve Logo Jersey, S","Multi",4,3,"S","Jerseys","Clothing"
228,"Long-Sleeve Logo Jersey, S","Multi",4,3,"S","Jerseys","Clothing"
228,"Long-Sleeve Logo Jersey, S","Multi",4,3,"S","Jerseys","Clothing"
229,"Long-Sleeve Logo Jersey, M","Multi",4,3,"M","Jerseys","Clothing"
229,"Long-Sleeve Logo Jersey, M","Multi",4,3,"M","Jerseys","Clothing"
229,"Long-Sleeve Logo Jersey, M","Multi",4,3,"M","Jerseys","Clothing"
229,"Long-Sleeve Logo Jersey, M","Multi",4,3,"M","Jerseys","Clothing"
230,"Long-Sleeve Logo Jersey, M","Multi",4,3,"M","Jerseys","Clothing"
230,"Long-Sleeve Logo Jersey, M","Multi",4,3,"M","Jerseys","Clothing"
230,"Long-Sleeve Logo Jersey, M","Multi",4,3,"M","Jerseys","Clothing"
230,"Long-Sleeve Logo Jersey, M","Multi",4,3,"M","Jerseys","Clothing"
231,"Long-Sleeve Logo Jersey, M","Multi",4,3,"M","Jerseys","Clothing"
231,"Long-Sleeve Logo Jersey, M","Multi",4,3,"M","Jerseys","Clothing"
231,"Long-Sleeve Logo Jersey, M","Multi",4,3,"M","Jerseys","Clothing"
231,"Long-Sleeve Logo Jersey, M","Multi",4,3,"M","Jerseys","Clothing"
232,"Long-Sleeve Logo Jersey, L","Multi",4,3,"L","Jerseys","Clothing"
232,"Long-Sleeve Logo Jersey, L","Multi",4,3,"L","Jerseys","Clothing"
232,"Long-Sleeve Logo Jersey, L","Multi",4,3,"L","Jerseys","Clothing"
232,"Long-Sleeve Logo Jersey, L","Multi",4,3,"L","Jerseys","Clothing"
233,"Long-Sleeve Logo Jersey, L","Multi",4,3,"L","Jerseys","Clothing"
233,"Long-Sleeve Logo Jersey, L","Multi",4,3,"L","Jerseys","Clothing"
233,"Long-Sleeve Logo Jersey, L","Multi",4,3,"L","Jerseys","Clothing"
233,"Long-Sleeve Logo Jersey, L","Multi",4,3,"L","Jerseys","Clothing"
234,"Long-Sleeve Logo Jersey, L","Multi",4,3,"L","Jerseys","Clothing"
234,"Long-Sleeve Logo Jersey, L","Multi",4,3,"L","Jerseys","Clothing"
234,"Long-Sleeve Logo Jersey, L","Multi",4,3,"L","Jerseys","Clothing"
234,"Long-Sleeve Logo Jersey, L","Multi",4,3,"L","Jerseys","Clothing"
235,"Long-Sleeve Logo Jersey, XL","Multi",4,3,"XL","Jerseys","Clothing"
